number	kind	category	title	labels	updated_at	url
1222	pull-request	v1-included	Fix: date/time-trigger syntax leaking into filename on "New note from Card"		2026-07-16T03:33:00Z	https://github.com/obsidian-community/obsidian-kanban/pull/1222
1221	pull-request	v1-included	fix: clear stale kanbanFileModes, enable _loaded flag, fallback window in addView		2026-07-10T14:34:06Z	https://github.com/obsidian-community/obsidian-kanban/pull/1221
1220	issue	issue-feature-request	[Feature]: Optionally hide future tasks	enhancement	2026-06-30T17:47:14Z	https://github.com/obsidian-community/obsidian-kanban/issues/1220
1219	issue	issue-feature-request	[Feature]: support date format of "@due(2026-07-17)"	enhancement	2026-06-17T15:42:30Z	https://github.com/obsidian-community/obsidian-kanban/issues/1219
1217	issue	issue-mobile-i18n	Collapsed column header renders CJK upside-down (rotate(180deg) flips glyphs in vertical writing mode)		2026-06-06T04:16:10Z	https://github.com/obsidian-community/obsidian-kanban/issues/1217
1216	pull-request	v1-included	fix: cards use --radius-m instead of --input-radius (fixes iOS/iPadOS 26 blob corners)		2026-06-06T00:03:19Z	https://github.com/obsidian-community/obsidian-kanban/pull/1216
1215	issue	issue-mobile-i18n	Cards render absurdly rounded on iOS/iPadOS 26 (card borrows --input-radius)		2026-06-06T00:02:22Z	https://github.com/obsidian-community/obsidian-kanban/issues/1215
1214	pull-request	pr-feature-review	feat(i18n): add Traditional Chinese (Taiwan) zh-TW locale		2026-06-05T23:46:51Z	https://github.com/obsidian-community/obsidian-kanban/pull/1214
1212	issue	issue-feature-request	[Feature]: When checkbox is checked move card to a chosen list	enhancement	2026-05-27T18:10:10Z	https://github.com/obsidian-community/obsidian-kanban/issues/1212
1211	pull-request	v1-excluded-feature	Add optional insert-card button between cards		2026-05-21T15:36:36Z	https://github.com/obsidian-community/obsidian-kanban/pull/1211
1210	pull-request	v1-excluded-feature	Add undo and redo for Kanban actions		2026-05-13T20:54:38Z	https://github.com/obsidian-community/obsidian-kanban/pull/1210
1209	issue	issue-performance	[Bug]: Plugin "obsidian-kanban" is taking long to load.	bug	2026-05-16T16:19:37Z	https://github.com/obsidian-community/obsidian-kanban/issues/1209
1207	issue	issue-support-or-unclassified	There is a MUCH BETTER plugin that works on top of Bases. Maybe you should use it instead.		2026-05-26T10:38:48Z	https://github.com/obsidian-community/obsidian-kanban/issues/1207
1206	pull-request	duplicate-not-selected	Improve border-radius on mobile and fix awkward scrollbar behavior		2026-05-01T13:52:34Z	https://github.com/obsidian-community/obsidian-kanban/pull/1206
1205	issue	issue-feature-request	[Feature]: Add the ability to enter properties in the task	enhancement	2026-04-24T13:33:03Z	https://github.com/obsidian-community/obsidian-kanban/issues/1205
1204	issue	issue-mobile-i18n	[Bug]: CJK character orientation in collapsed lists	bug	2026-04-16T18:54:28Z	https://github.com/obsidian-community/obsidian-kanban/issues/1204
1203	issue	issue-bug	[Bug]: Whitespace-only card and list titles are accepted with no validation	bug	2026-04-07T04:11:36Z	https://github.com/obsidian-community/obsidian-kanban/issues/1203
1201	issue	issue-performance	[Bug]: Dragging a note from the sidebar when a board is open lags the editor out significantly	bug	2026-03-25T21:51:26Z	https://github.com/obsidian-community/obsidian-kanban/issues/1201
1198	pull-request	pr-feature-review	feat: implement auto-create linked notes on card add		2026-05-24T17:13:13Z	https://github.com/obsidian-community/obsidian-kanban/pull/1198
1195	pull-request	v1-excluded-feature	feat: move card to another kanban board from card menu		2026-03-11T13:41:12Z	https://github.com/obsidian-community/obsidian-kanban/pull/1195
1194	pull-request	v1-excluded-feature	Add cross-board card transfer		2026-03-11T03:36:53Z	https://github.com/obsidian-community/obsidian-kanban/pull/1194
1192	issue	issue-feature-request	[Feature]: Move Card from Kanban Board to other Kanban Board	enhancement	2026-03-05T07:13:54Z	https://github.com/obsidian-community/obsidian-kanban/issues/1192
1190	issue	issue-data-integrity	[Feature]: Delete All Cards In List / delete all completed cards	enhancement	2026-05-04T21:36:52Z	https://github.com/obsidian-community/obsidian-kanban/issues/1190
1189	pull-request	pr-feature-review	feat: horizontal backlog		2026-06-09T10:03:24Z	https://github.com/obsidian-community/obsidian-kanban/pull/1189
1188	pull-request	v1-included	Fix: stop silently failing when failing to create new notes. fixes #1028		2026-02-25T16:49:38Z	https://github.com/obsidian-community/obsidian-kanban/pull/1188
1187	pull-request	pr-feature-review	feat: Add story points, due dates, priority levels, and task categories to Kanban cards		2026-02-28T04:53:54Z	https://github.com/obsidian-community/obsidian-kanban/pull/1187
1185	issue	issue-feature-request	[Feature]: Assign person to task	enhancement	2026-02-11T11:54:22Z	https://github.com/obsidian-community/obsidian-kanban/issues/1185
1183	issue	issue-mobile-i18n	[Bug]: Excessive border-radius on Kanban cards clips content on mobile (iOS/iPhone)	bug	2026-02-28T02:08:54Z	https://github.com/obsidian-community/obsidian-kanban/issues/1183
1182	issue	issue-feature-request	[Feature]: Plan for new maintainers?	enhancement	2026-05-04T21:52:31Z	https://github.com/obsidian-community/obsidian-kanban/issues/1182
1181	pull-request	pr-maintenance	docs: Improve landing page with navigation and getting started links (#1134)		2026-01-31T10:00:14Z	https://github.com/obsidian-community/obsidian-kanban/pull/1181
1180	pull-request	v1-included	fix: Correct CJK/emoji orientation in collapsed columns (#1098)		2026-01-31T09:59:32Z	https://github.com/obsidian-community/obsidian-kanban/pull/1180
1179	pull-request	v1-included	fix: Reduce drag scroll speed to prevent overshooting columns (#1110)		2026-01-31T09:56:10Z	https://github.com/obsidian-community/obsidian-kanban/pull/1179
1178	issue	issue-mobile-i18n	[Bug]: New card input has too much top padding (on mobile)	bug	2026-02-17T07:47:19Z	https://github.com/obsidian-community/obsidian-kanban/issues/1178
1177	issue	issue-feature-request	[Feature]: Add option to automatically add today's date to card on creation	enhancement	2026-01-22T15:07:56Z	https://github.com/obsidian-community/obsidian-kanban/issues/1177
1176	issue	issue-data-integrity	[Feature]: undo & redo for deleting cards, reordering, moving to other list	enhancement	2026-01-17T10:57:33Z	https://github.com/obsidian-community/obsidian-kanban/issues/1176
1175	issue	issue-feature-request	[Feature]: Embedded view functionality	enhancement	2026-01-10T03:26:10Z	https://github.com/obsidian-community/obsidian-kanban/issues/1175
1172	issue	issue-bug	[Bug]: Multiline code block not rendered correctly	bug	2025-10-30T09:51:01Z	https://github.com/obsidian-community/obsidian-kanban/issues/1172
1170	issue	issue-feature-request	[Feature]: Menu option to copy the card text into clipboard	enhancement	2026-04-09T14:55:28Z	https://github.com/obsidian-community/obsidian-kanban/issues/1170
1169	pull-request	v1-included	fix: Ensure empty priority would be interpreted with correct value		2025-10-11T17:31:55Z	https://github.com/obsidian-community/obsidian-kanban/pull/1169
1168	issue	issue-performance	[Bug]: singboard.exe flagged as threat by corporate antivirus	bug	2025-09-29T07:48:20Z	https://github.com/obsidian-community/obsidian-kanban/issues/1168
1167	issue	issue-bug	[Bug]: move line up or down fails	bug	2025-09-27T17:59:49Z	https://github.com/obsidian-community/obsidian-kanban/issues/1167
1166	issue	issue-feature-request	[Feature]: Drag and drop too fast	enhancement	2025-12-16T09:56:05Z	https://github.com/obsidian-community/obsidian-kanban/issues/1166
1165	pull-request	pr-feature-review	Implement dynamic task query lanes feature with manual override and smart movement		2025-09-22T18:07:50Z	https://github.com/obsidian-community/obsidian-kanban/pull/1165
1163	issue	issue-data-integrity	[Bug]: Kanban board disappeared after git sync?	bug	2025-09-20T09:15:11Z	https://github.com/obsidian-community/obsidian-kanban/issues/1163
1162	issue	issue-bug	[Bug]: Cannot drag to reorder list	bug	2025-11-24T11:44:35Z	https://github.com/obsidian-community/obsidian-kanban/issues/1162
1161	issue	issue-feature-request	[Feature]: Options for the card drag&drop	enhancement	2025-09-06T19:44:36Z	https://github.com/obsidian-community/obsidian-kanban/issues/1161
1160	issue	issue-bug	[Bug]: Dropping link on board causes the link to be opened	bug	2025-09-06T11:27:43Z	https://github.com/obsidian-community/obsidian-kanban/issues/1160
1159	issue	issue-settings	[Bug]: "Tag sort order" setting does nothing	bug	2025-09-03T17:11:55Z	https://github.com/obsidian-community/obsidian-kanban/issues/1159
1158	issue	issue-feature-request	[Feature]: Use 2 spaces for indentation instead of four	enhancement	2025-09-02T04:02:47Z	https://github.com/obsidian-community/obsidian-kanban/issues/1158
1157	issue	issue-support-or-unclassified	Is this project still maintained?		2025-11-29T01:14:20Z	https://github.com/obsidian-community/obsidian-kanban/issues/1157
